country_code,city,year,pm25_concentration,pm10_concentration,no2_concentration,latitude,longitude
AUT,Strassengel,2017,\N,\N,24.0,47.1131,15.3392
AUT,Strassengel,2018,\N,\N,22.0,47.1131,15.3392
AUT,Strassengel,2019,\N,\N,21.0,47.1131,15.3392
AUT,Strassengel,2020,\N,\N,21.0,47.1131,15.3392
AUT,Strassengel,2021,\N,\N,22.0,47.1131,15.3392
AUT,Sulzberg,2010,\N,\N,7.0,47.529167,9.926675
AUT,Sulzberg,2013,\N,\N,6.0,47.5292,9.9267
AUT,Sulzberg,2014,\N,\N,5.0,47.5292,9.9267
AUT,Sulzberg,2015,\N,\N,5.0,47.5292,9.9267
AUT,Sulzberg,2016,\N,\N,5.0,47.5292,9.9267
AUT,Sulzberg,2017,\N,\N,6.0,47.5292,9.9267
AUT,Sulzberg,2018,\N,\N,6.0,47.5292,9.9267
AUT,Sulzberg,2019,\N,\N,5.0,47.5292,9.9267
AUT,Sulzberg,2020,\N,\N,4.0,47.5292,9.9267
AUT,Sulzberg,2021,\N,\N,4.0,47.5292,9.9267
AUT,Traffic to remove,2010,\N,\N,56.0,47.468891,11.958342
AUT,Traffic to remove,2013,\N,\N,18.0,48.30246,16.31395
AUT,Tulbingerkogel,2010,\N,\N,9.0,48.282222,16.148625
AUT,Unterbergern,2010,\N,\N,13.0,48.371109,15.546679
AUT,Unterbergern,2013,\N,\N,10.0,48.370289,15.54581667
AUT,Unterbergern,2014,\N,\N,9.0,48.3703,15.5458
AUT,Unterbergern,2015,\N,\N,10.0,48.3703,15.5458
AUT,Unterbergern,2016,\N,\N,10.0,48.3703,15.5458
AUT,Unterbergern,2017,\N,\N,9.0,48.3703,15.5458
AUT,Unterbergern,2018,\N,\N,10.0,48.3703,15.5458
AUT,Unterbergern,2019,\N,\N,9.0,48.3703,15.5458
AUT,Unterbergern,2020,\N,\N,8.0,48.3703,15.5458
AUT,Unterbergern,2021,\N,\N,8.0,48.3703,15.5458
AUT,Vosendorf,2013,\N,\N,25.0,48.125,16.331388
AUT,Vösendorf,2013,\N,\N,25.0,48.1247,16.3315
AUT,Vösendorf,2014,\N,\N,22.0,48.1247,16.3315
AUT,Vösendorf,2015,\N,\N,24.0,48.1247,16.3315
AUT,Vösendorf,2016,\N,\N,23.0,48.1247,16.3315
AUT,Vösendorf,2017,\N,\N,24.0,48.1247,16.3315
AUT,Vösendorf,2018,\N,\N,21.0,48.1247,16.3315
AUT,Vösendorf,2019,\N,\N,19.0,48.1247,16.3315
AUT,Vösendorf,2020,\N,\N,16.0,48.1247,16.3315
