country_code,country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
IND,India,Udaipur,70,3,36,2,70,23.5389,91.4917
IND,India,Udaipur,70,3,36,2,70,27.7289,75.4716
JPN,Japan,Uenohara,46,1,46,1,30,35.6302,139.1113
USA,United States of America,Uniontown,45,1,45,2,31,39.8993,-79.7246
JPN,Japan,Urayasu,54,1,54,3,49,35.6539,139.9022
IND,India,Vadnagar,165,1,36,0,165,23.785,72.64
ITA,Italy,Varazze,35,1,35,3,34,44.36,8.5766
DEU,Germany,Vechelde,39,0,33,1,39,52.2608,10.3719
ITA,Italy,Velletri,41,1,41,2,22,41.6667,12.7833
ITA,Italy,Venosa,46,2,39,6,46,40.9618,15.8148
RUS,Russian Federation,Votkinsk,38,1,28,1,38,57.05,54.0
RUS,Russian Federation,Bolkhov,65,0,23,1,65,53.45,36.0167
RUS,Russian Federation,Bolokhovo,50,0,31,1,50,54.0833,37.8333
DEU,Germany,Bonn,32,1,32,2,30,50.7333,7.1
BEL,Belgium,Bredene,42,1,27,2,42,51.2336,2.9756
UKR,Ukraine,Buchach,70,1,37,1,70,49.0647,25.3872
CHL,Chile,Buin,245,20,0,27,245,-33.7333,-70.7333
PHL,Philippines,Bunawan,54,1,18,0,54,8.1781,125.9935
IND,India,Burla,163,1,63,0,163,21.5098,83.8726
USA,United States of America,Camp Verde,43,1,13,4,43,34.569,-111.856
ITA,Italy,Capua,45,1,45,2,15,41.1056,14.2139
PRT,Portugal,Cartaxo,37,0,28,1,37,39.15,-8.7833
ITA,Italy,Casalgrande,60,1,38,1,60,44.5833,10.7333
PRT,Portugal,Cascais,47,0,29,3,47,38.7,-9.4167
ECU,Ecuador,Catamayo,24,1,8,1,24,-3.9833,-79.35
CHL,Chile,Cauquenes,36,1,16,3,36,-35.9667,-72.35
USA,United States of America,Cedarburg,49,2,16,14,49,43.299,-87.9887
TZA,United Republic of Tanzania,Chake Chake,52,1,25,0,52,-5.2395,39.77
IND,India,Chakradharpur,167,1,93,0,167,22.7,85.63
USA,United States of America,College Park,98,3,0,28,98,38.996,-76.9337
USA,United States of America,College Park,98,3,0,28,98,33.6363,-84.464
USA,United States of America,Corinth,58,1,20,6,58,33.1434,-97.0682
USA,United States of America,Corinth,58,1,20,6,58,34.9474,-88.5143
BEN,Benin,Cotonou,71,1,24,0,71,6.3667,2.4333
ZAF,South Africa,Cradock,43,1,23,0,43,-32.1833,25.6167
GBR,United Kingdom of Great Britain and Northern Ireland,Crawley,32,0,28,3,32,51.1092,-0.1872
RWA,Rwanda,Cyangugu,56,2,24,0,56,-2.4833,28.8967
BEN,Benin,Abomey,80,1,21,1,80,7.1856,1.9881
FRA,France,Agen,46,1,37,1,46,44.2049,0.6212
TUR,Turkey,Alanya,42,1,42,0,22,36.55,32.0
RUS,Russian Federation,Aleysk,35,1,35,0,27,52.5,82.7833
RUS,Russian Federation,Amursk,47,1,33,0,47,50.2167,136.9
USA,United States of America,Annapolis,61,1,41,5,61,38.9706,-76.5047
GTM,Guatemala,Antigua Guatemala,125,4,3,13,125,14.5667,-90.7333
BRA,Brazil,Arapongas,37,1,14,2,37,-23.4189,-51.4239
PHL,Philippines,Aringay,59,1,24,1,59,16.3982,120.3555
IRN,Iran (Islamic Republic of),Bam,178,1,42,0,178,29.1061,58.3569
IND,India,Banganapalle,83,0,30,0,83,15.3167,78.2331
THA,Thailand,Bangkok,69,1,25,1,69,13.7525,100.4942
USA,United States of America,Belmont,54,1,24,9,54,37.5154,-122.2953
USA,United States of America,Belmont,54,1,24,9,54,42.396,-71.1795
USA,United States of America,Belmont,54,1,24,9,54,35.2212,-81.0401
USA,United States of America,Belmont,54,1,24,9,54,39.0622,-77.4985
CHN,China,Bengbu,174,4,174,5,141,32.9354,117.3531
BEL,Belgium,Beringen,46,1,26,5,46,51.0333,5.2167
IND,India,Bhind,193,1,46,0,193,26.5587,78.7871
CHN,China,Bijie,81,2,26,6,81,27.3019,105.2863
DEU,Germany,Billerbeck,33,1,33,2,26,51.9792,7.295
USA,United States of America,Billings,40,1,24,4,40,45.7891,-108.5526
USA,United States of America,Binghamton,40,1,40,1,34,42.1014,-75.9093
GBR,United Kingdom of Great Britain and Northern Ireland,Cheltenham,47,0,32,1,47,51.9,-2.0667
GBR,United Kingdom of Great Britain and Northern Ireland,Cheltenham,47,0,32,1,47,40.0781,-75.1382
ITA,Italy,Chieri,60,1,33,4,60,45.0139,7.8224
PAN,Panama,Chilibre,82,2,18,8,82,9.15,-79.62
IND,India,Chinna Salem,81,1,43,2,81,11.6342,78.8741
