country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
Argentina,Corrientes,13,1,12,0,13,-27.4833,-58.8167
Italy,Crevalcore,103,2,28,9,103,44.7167,11.15
Azerbaijan,Culfa,52,1,35,0,52,38.9558,45.6308
Spain,Culleredo,30,0,30,2,13,43.2883,-8.3894
India,Cuncolim,73,0,25,0,73,15.1773,73.9939
Brazil,Curvelo,42,1,2,4,42,-18.7558,-44.4308
Germany,Cuxhaven,35,0,35,0,30,53.8611,8.6944
United States of America,Cypress Lake,46,1,25,5,46,26.5392,-81.8999
Guinea,Dalaba,63,2,13,0,63,10.656,-12.272
France,Beaune,39,1,26,1,39,47.025,4.8397
United States of America,Bedford,56,1,18,6,56,52.135,-0.47
United States of America,Bedford,56,1,18,6,56,32.8464,-97.135
United States of America,Bedford,56,1,18,6,56,42.9406,-71.5302
United States of America,Bedford,56,1,18,6,56,41.225,-73.6673
United States of America,Bedford,56,1,18,6,56,42.4969,-71.2783
United States of America,Bedford,56,1,18,6,56,38.8602,-86.4895
United States of America,Bedford,56,1,18,6,56,41.3919,-81.536
Ghana,Begoro,105,2,13,2,105,6.3833,-0.3833
China,Beipiao,93,2,90,1,93,41.802,120.7621
Brazil,Bela Cruz,45,0,22,0,45,-3.0508,-40.1678
Bolivia (Plurinational State of),Bermejo,54,1,8,1,54,-22.7322,-64.3425
Germany,Bernburg,36,0,29,2,36,51.8,11.7333
United States of America,Berwick,50,1,35,5,50,41.0555,-76.2492
India,Betma,153,1,34,0,153,22.68,75.62
United States of America,Beverly,48,1,36,5,48,42.5681,-70.8627
Russian Federation,Bezhetsk,24,0,24,0,24,57.7667,36.7
Pakistan,Bhalwal,179,3,179,2,166,32.2656,72.8994
India,Bhiwandi,151,1,26,1,151,19.2967,73.0631
Indonesia,Binjai,92,2,45,0,92,3.5986,98.4803
Russian Federation,Baksan,48,1,39,1,48,43.6825,43.5339
Colombia,Baranoa,104,1,16,2,104,10.8,-74.9167
Philippines,Baras,51,1,27,1,51,14.5167,121.2667
Philippines,Baras,51,1,27,1,51,13.6667,124.3667
Thailand,Nong Bua,38,0,20,0,38,15.8647,100.5858
Netherlands,Noordwijkerhout,41,1,27,5,41,52.2667,4.5
United States of America,Northbridge,47,1,46,2,47,42.13,-71.6547
United Kingdom of Great Britain and Northern Ireland,Norwich,29,0,29,3,18,52.6286,1.2928
United Kingdom of Great Britain and Northern Ireland,Norwich,29,0,29,3,18,41.5495,-72.0882
United Kingdom of Great Britain and Northern Ireland,Norwich,29,0,29,3,18,42.9833,-80.6
Netherlands,Nuenen,37,1,32,3,37,51.4733,5.5467
Chile,Nueva Imperial,61,2,2,9,61,-38.7433,-72.95
