country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
Lesotho,Mafeteng,117,4,14,7,117,-29.8167,27.25
United States of America,Magnolia,56,1,25,2,56,33.2775,-93.2261
India,Maihar,171,1,36,0,171,24.262,80.761
United States of America,Maitland,53,1,18,14,53,28.6295,-81.3718
United States of America,Maitland,53,1,18,14,53,-32.7167,151.55
France,Malakoff,40,1,26,3,40,48.8169,2.2944
Benin,Malanville,34,1,18,1,34,11.8667,3.3833
Italy,Malnate,69,1,22,6,69,45.8,8.8833
Democratic Republic of the Congo,Manono,74,2,23,1,74,-7.2947,27.4545
Venezuela (Bolivarian Republic of),Maracaibo,118,1,17,4,118,10.6333,-71.6333
Germany,Hagen,30,0,30,1,25,51.3667,7.4833
France,Halluin,35,0,28,2,35,50.7836,3.1256
Germany,Hamburg,34,0,28,2,34,53.55,10.0
Germany,Hamburg,34,0,28,2,34,42.7394,-78.8581
United States of America,Hanahan,73,2,35,8,73,32.9302,-80.0027
Bulgaria,Harmanli,40,1,40,1,24,41.9333,25.9
Pakistan,Harunabad,500,1,43,0,443,29.613,73.1409
Germany,Hattingen,28,0,27,2,28,51.3992,7.1858
United States of America,Hauppauge,52,1,27,12,52,40.8211,-73.2109
United States of America,Hayward,70,2,20,20,70,37.6328,-122.0766
Finland,Heinola,33,0,33,0,5,61.2,26.0333
Japan,Hekinan,59,1,59,1,23,34.8847,136.9934
Germany,Hemsbach,30,0,30,1,24,49.5903,8.6564
China,Hengyang,169,4,169,3,150,26.8968,112.5857
United States of America,Hoboken,61,1,27,11,61,40.7452,-74.0281
United States of America,Hoboken,61,1,27,11,61,51.1667,4.3667
Somalia,Hobyo,58,0,21,0,58,5.3514,48.5256
Solomon Islands,Honiara,18,0,18,0,6,-9.4319,159.9556
Paraguay,Horqueta,20,0,20,0,20,-23.3442,-57.0436
Armenia,Hrazdan,31,0,31,0,30,40.5,44.7667
China,Hsinchu,138,3,138,2,112,24.8167,120.9833
Peru,Huaura,39,1,19,1,39,-11.1,-77.6
Zimbabwe,Hwange,44,0,17,0,44,-18.3647,26.5
Japan,Ichihara,74,1,74,1,35,35.4981,140.1154
India,Khed,95,0,22,0,95,17.7189,73.3969
Russian Federation,Khimki,40,1,30,8,40,55.8892,37.445
Ukraine,Khotyn,75,1,37,1,75,48.5078,26.486
Turkey,Kilis,64,1,41,0,64,36.7167,37.1167
United States of America,Killeen,40,0,21,1,40,31.0753,-97.7297
Austria,Klosterneuburg,59,1,30,3,59,48.3042,16.3167
Croatia,Knin,48,1,48,0,35,44.0414,16.1986
Papua New Guinea,Kokopo,104,0,22,0,104,-4.35,152.2736
Russian Federation,Kola,30,1,30,0,10,22.43,87.87
Russian Federation,Kola,30,1,30,0,10,68.8833,33.0833
Russian Federation,Kotelnikovo,39,1,39,0,20,47.6333,43.15
Chad,Koumra,59,2,6,0,59,8.91,17.55
Russian Federation,Krasnovishersk,29,1,28,0,29,60.4167,57.1
Russian Federation,Krasnyy Yar,34,1,34,1,24,46.5331,48.3456
Russian Federation,Krasnyy Yar,34,1,34,1,24,53.3239,69.2525
Germany,Kronach,36,1,26,2,36,50.2411,11.3281
Germany,Kronberg,30,0,30,1,27,50.1833,8.5
Russian Federation,Kulebaki,48,1,33,1,48,55.4167,42.5333
Japan,Kushiro,33,1,33,0,9,42.9833,144.3833
Japan,Kushiro,33,1,33,0,9,42.9961,144.4661
Mexico,La Barca,37,1,8,3,37,20.2833,-102.5667
France,La Crau,60,1,30,6,60,43.1497,6.0742
Honduras,La Entrada,55,2,5,4,55,15.05,-88.7333
United States of America,La Presa,58,2,14,19,58,32.711,-117.0027
Germany,Ilsede,41,0,28,2,41,52.2667,10.1833
Brazil,Imbituba,31,1,15,1,31,-28.24,-48.67
Brazil,Imbituva,24,1,8,0,24,-25.23,-50.6044
Japan,Inagi,78,1,78,3,51,35.6379,139.5046
Spain,Inca,43,1,43,0,30,39.7167,2.9167
India,Indore,150,1,30,0,150,22.7167,75.8472
United Kingdom of Great Britain and Northern Ireland,Inverurie,31,1,31,2,25,57.28,-2.38
Japan,Ishigaki,116,2,116,0,64,24.3406,124.1556
Spain,Jaen,36,1,17,3,36,15.3392,120.9069
Mexico,Jilotepec,95,2,9,9,95,19.9519,-99.5328
Mexico,Jilotepec,95,2,9,9,95,19.6113,-96.9224
United Republic of Tanzania,Kabanga,171,6,10,3,171,-2.9022,30.4986
Finland,Kajaani,32,1,32,0,24,64.2311,27.7194
India,Kalavai,59,1,32,0,59,12.7691,79.4196
Russian Federation,Kalyazin,24,1,24,0,19,57.2333,37.8833
Ukraine,Kalynivka,78,1,36,1,78,49.4472,28.5231
Cambodia,Kampot,59,1,27,0,59,10.6,104.1667
Finland,Kangasala,30,1,30,2,14,61.4639,24.065
India,Karambakkudi,84,1,40,1,84,10.4587,79.141
Japan,Kawaguchi,75,1,75,1,34,35.8077,139.7241
United States of America,Kearns,54,1,6,14,54,40.6519,-112.0095
Belgium,Keerbergen,39,1,23,5,39,51.0031,4.6311
United States of America,Kerrville,36,0,20,1,36,30.0398,-99.132
United States of America,Kettering,53,1,31,6,53,52.3931,-0.7229
United States of America,Kettering,53,1,31,6,53,39.6956,-84.1494
United States of America,Kettering,53,1,31,6,53,38.8888,-76.7889
India,Khammam,112,1,29,2,112,17.2473,80.1514
India,Khandwa,130,0,31,0,130,21.82,76.35
Italy,Marsciano,40,1,40,2,23,42.9167,12.3333
France,Marseille,59,1,37,6,59,43.2964,5.37
United States of America,Mashpee,29,1,29,2,17,41.6178,-70.4908
Uganda,Masindi,62,2,17,0,62,1.6836,31.7222
Chad,Massakory,65,2,23,1,65,13.0,15.7333
Philippines,Medellin,78,1,31,0,78,11.1286,123.9622
Cuba,Media Luna,56,1,25,1,56,20.1444,-77.4361
Colombia,Melgar,121,4,7,8,121,4.2039,-74.6428
Argentina,Mercedes,14,1,14,0,3,-33.25,-58.0333
Argentina,Mercedes,14,1,14,0,3,-34.65,-59.4333
Argentina,Mercedes,14,1,14,0,3,14.1093,123.0109
Argentina,Mercedes,14,1,14,0,3,-29.2,-58.0833
Argentina,Mercedes,14,1,14,0,3,26.1533,-97.9128
United States of America,Merriam,95,1,23,10,95,39.0186,-94.6933
United States of America,Merrill,52,1,33,3,52,45.182,-89.6994
Netherlands,Middelharnis,34,0,34,2,32,51.75,4.17
Turkey,Midyat,72,1,42,1,72,37.4167,41.3697
Brazil,Miguel Alves,47,1,7,1,47,-4.1658,-42.895
Uruguay,Minas,22,0,19,0,22,-34.3667,-55.2333
Uruguay,Minas,22,0,19,0,22,21.4894,-77.605
Brazil,Miranorte,41,0,11,0,41,-9.5289,-48.59
India,Moga,159,2,134,1,159,30.822,75.174
Italy,Mogliano Veneto,89,2,33,5,89,45.5619,12.2364
France,Montauban,32,1,32,2,32,44.0181,1.3558
Belgium,Mortsel,40,1,29,3,40,51.1667,4.4667
United States of America,Moscow,30,1,19,4,30,55.7558,37.6178
United States of America,Moscow,30,1,19,4,30,46.7308,-116.9986
India,Mudhol,73,0,24,0,73,18.9667,77.9167
India,Mudhol,73,0,24,0,73,15.6406,75.9531
India,Mudhol,73,0,24,0,73,16.35,75.2833
Mexico,Muna,59,1,21,1,59,20.48,-89.72
Mexico,Naranjos,92,2,34,1,92,21.3472,-97.6833
Romania,Nehoiu,52,1,40,0,52,45.3531,26.305
Germany,Neustadt,33,0,33,0,32,49.35,8.15
Germany,Neustadt,33,0,33,0,32,49.5967,10.6089
Germany,Neustadt,33,0,33,0,32,51.0239,14.2167
Germany,Neustadt,33,0,33,0,32,50.85,9.1167
Germany,Neustadt,33,0,33,0,32,50.7333,11.75
United States of America,New Lenox,54,2,30,11,54,41.5095,-87.9703
United Kingdom of Great Britain and Northern Ireland,Newburn,31,0,31,2,21,54.983,-1.743
United Kingdom of Great Britain and Northern Ireland,Newbury,50,1,22,7,50,51.401,-1.323
Republic of Moldova,Nisporeni,53,1,36,1,53,47.0833,28.1833
Japan,Nisshin,44,1,44,1,16,35.132,137.0394
Russian Federation,Nizhniye Sergi,37,1,35,0,37,56.6667,59.3167
Germany,Nohfelden,54,1,30,3,54,49.5867,7.1428
,Kingstown,163,0,25,0,163,13.1578,-61.225
United States of America,Klamath Falls,40,1,7,6,40,42.2195,-121.7754
Pakistan,Kohat,101,1,62,0,101,33.5833,71.4333
China,Korla,160,1,45,0,160,41.7259,86.1746
Ukraine,Korostyshiv,89,1,39,0,89,50.3186,29.0592
Guinea,Kouroussa,56,1,13,0,56,10.653,-9.892
United States of America,Littleton,74,1,8,13,74,39.5915,-105.0188
United States of America,Littleton,74,1,8,13,74,42.535,-71.4891
Italy,Lizzano,48,1,48,3,36,40.3919,17.4483
Bolivia (Plurinational State of),Llallagua,12,0,12,0,11,-18.4167,-66.5833
United States of America,Lochearn,42,1,28,10,42,39.3461,-76.7307
Finland,Lohja,27,1,27,4,19,60.25,24.0667
Myanmar,Loikaw,15,0,15,0,10,19.6742,97.2092
Italy,Lonate Pozzolo,82,1,42,2,82,45.6,8.75
Chile,Lota,67,2,10,8,67,-37.0833,-73.1667
Angola,Lubango,40,1,14,0,40,-14.9167,13.5
Democratic Republic of the Congo,Luebo,90,4,20,0,90,-5.35,21.4167
India,Lumding,43,2,21,0,43,25.75,93.17
India,Mahendragarh,500,1,42,0,435,28.28,76.15
Turkey,Malatya,55,1,29,0,55,38.3486,38.3194
Philippines,Manay,25,0,15,0,25,7.2108,126.5328
Kingdom of Eswatini,Manzini,75,3,15,1,75,-26.4833,31.3667
Ukraine,Krasnodon,37,1,37,0,13,48.3,39.7333
India,Kunigal,50,0,21,0,50,13.0232,77.0252
Spain,La Carolina,34,1,17,3,34,38.2667,-3.6167
Spain,La Garriga,49,1,30,5,49,41.6804,2.2833
Spain,La Llagosta,53,1,26,7,53,41.5156,2.1928
United States of America,Lady Lake,72,1,7,14,72,28.9241,-81.9299
Malaysia,Lahad Datu,48,1,15,0,48,5.03,118.34
Belgium,Lanaken,43,1,25,4,43,50.8925,5.6497
France,Lannion,41,1,26,4,41,48.7325,-3.4553
Italy,Lanuvio,40,1,40,2,20,41.6833,12.7
Mexico,Las Margaritas,61,1,8,4,61,16.3667,-91.7333
Belgium,Lede,42,1,28,4,42,50.9667,3.9833
Italy,Lentini,67,1,36,3,67,37.2833,15.0
United States of America,Leominster,30,1,30,3,22,42.5209,-71.7717
United States of America,Leominster,30,1,30,3,22,52.2282,-2.7385
Mexico,Leon,50,1,14,3,50,10.7808,122.3894
Bulgaria,Levski,52,1,36,1,52,43.3667,25.1333
China,Liancheng,58,1,28,2,58,24.0515,105.0573
United States of America,Lighthouse Point,58,1,14,10,58,26.2785,-80.0891
Malawi,Lilongwe,33,0,19,0,33,-13.9833,33.7833
Nigeria,Kano,138,4,25,4,138,12.0,8.5167
Russian Federation,Karabash,36,1,36,0,33,55.4833,60.2167
India,Kareli,169,1,36,0,169,22.9153,79.0638
United States of America,Kaukauna,49,1,31,6,49,44.2773,-88.2641
Finland,Kerava,23,1,23,6,18,60.4,25.1
Poland,Jawor,63,1,24,3,63,51.05,16.2
France,Joigny,31,1,31,1,21,47.9822,3.3972
Germany,Jork,34,0,34,1,31,53.5344,9.6817
Zambia,Kafue,36,0,16,0,36,-15.7667,28.1833
United States of America,Mountlake Terrace,49,1,25,11,49,47.7921,-122.3077
Morocco,Mrirt,59,2,16,4,59,33.1667,-5.5667
India,Muktsar,180,2,151,1,180,30.4743,74.5166
Ireland,Mullingar,27,0,27,0,13,53.5224,-7.3378
Pakistan,Multan,194,3,176,2,194,30.1978,71.4697
Ghana,Mumford,74,2,17,1,74,5.2625,-0.7578
Japan,Murayama,35,1,35,1,13,38.4833,140.3833
Spain,Murcia,29,1,29,2,20,37.9861,-1.1303
Spain,Murcia,29,1,29,2,20,10.6,123.0333
India,Musiri,54,0,25,0,54,10.9333,78.45
United States of America,Muskego,58,2,18,21,58,42.886,-88.1291
Netherlands,Naarden,42,0,35,1,42,52.2953,5.1622
,Nanakuli,30,0,27,0,30,21.3892,-158.1445
China,Nantong,206,7,206,9,167,31.9829,120.8873
France,Jeumont,51,1,22,5,51,50.2944,4.1014
India,Kalanaur,157,3,157,1,126,32.02,75.15
India,Lala,87,1,36,0,87,7.9667,123.75
Thailand,Lang Suan,32,0,16,0,32,9.95,99.0667
,Lavagna,55,1,38,2,55,44.3167,9.3333
United States of America,League City,45,1,22,5,45,29.4874,-95.1087
Ukraine,Lebedyn,55,1,40,1,55,50.5831,34.4823
United States of America,Lennox,114,3,8,37,114,33.938,-118.3586
Slovakia,Levice,50,1,31,1,50,48.2164,18.6081
New Zealand,Levin,13,0,13,1,12,-40.6219,175.2867
Germany,Limburg,33,1,33,2,30,50.3833,8.0667
Sweden,Lindome,38,0,38,1,19,57.5667,12.1
Italy,Lissone,33,1,33,2,23,45.6167,9.25
United States of America,Lockhart,47,1,21,2,47,29.8785,-97.6831
United States of America,Lockhart,47,1,21,2,47,28.627,-81.4354
Germany,Lohmar,33,1,33,2,29,50.8167,7.2167
China,Loudi,99,4,99,5,97,27.7378,111.9974
Angola,Luena,66,1,22,0,66,-11.7918,19.9062
Belarus,Lyuban,52,1,28,1,52,52.7819,28.0525
Russian Federation,Lyudinovo,70,1,23,2,70,53.8667,34.4333
Netherlands,Maassluis,38,1,27,4,38,51.9333,4.2333
Guinea,Macenta,32,1,14,0,32,8.5504,-9.48
United States of America,Machesney Park,72,3,0,10,72,42.3666,-89.0266
Germany,Mainburg,29,0,28,1,29,48.65,11.7833
Indonesia,Malang,67,1,36,0,67,-7.98,112.62
Philippines,Manapla,54,1,22,0,54,10.958,123.123
Italy,Manfredonia,49,1,49,0,36,41.6333,15.9167
Spain,Maracena,32,1,32,1,15,37.2,-3.6333
Philippines,Margosatubig,17,0,16,0,17,7.5783,123.1659
Russian Federation,Kotelnich,33,1,33,0,10,58.3078,48.3181
Russian Federation,Krasnodar,44,1,44,4,31,45.0333,38.9667
Russian Federation,Krasnogorsk,61,1,24,10,61,55.8217,37.3386
Russian Federation,Krasnogorsk,61,1,24,10,61,48.4172,142.0869
Russian Federation,Krasnokamsk,25,1,25,0,19,58.0833,55.6833
Norway,Kristiansand,52,0,34,1,52,58.1472,7.9972
Russian Federation,Kurtamysh,31,1,31,0,31,54.9167,64.4333
Belgium,Kuurne,38,1,23,3,38,50.8519,3.2861
France,La Madeleine,38,1,23,3,38,50.6558,3.071
Mexico,La Piedad,52,1,6,5,52,20.3333,-102.0167
,Ladispoli,48,1,48,2,34,41.9544,12.0742
Portugal,Marinha Grande,40,0,29,1,40,39.75,-8.9333
Morocco,Martil,39,1,39,4,38,35.6167,-5.2667
Indonesia,Mataram,34,1,25,0,34,-8.5833,116.1167
China,Matou,111,2,42,8,111,39.5503,116.1063
United States of America,Matteson,77,2,10,27,77,41.5095,-87.7468
Brazil,Medeiros Neto,52,1,6,1,52,-17.3739,-40.2208
Italy,Melegnano,44,1,33,3,44,45.3588,9.3238
Germany,Dreieich,37,1,37,1,30,50.0,8.7
United Kingdom of Great Britain and Northern Ireland,Dronfield,39,0,31,1,39,53.3024,-1.4664
India,Dumjor,179,3,102,4,179,22.64,88.22
Hungary,Dunaharaszti,51,1,27,2,51,47.3539,19.0948
United Kingdom of Great Britain and Northern Ireland,East Grinstead,36,0,27,3,36,51.13,-0.0
United Kingdom of Great Britain and Northern Ireland,Ebbw Vale,50,0,29,1,50,51.78,-3.21
United States of America,Ecorse,51,1,28,9,51,42.2489,-83.1399
Ecuador,El Carmen,79,3,5,9,79,13.7167,-88.9
Ecuador,El Carmen,79,3,5,9,79,13.35,-88.0
Ecuador,El Carmen,79,3,5,9,79,8.5128,-73.4508
Guatemala,El Quetzal,99,3,11,11,99,14.7667,-91.8167
United States of America,Elko,24,1,24,2,17,40.8381,-115.7678
Germany,Elmshorn,32,1,32,2,26,53.7519,9.6511
United States of America,Enumclaw,29,1,29,2,23,47.2018,-121.9897
Mongolia,Erdenet,81,1,34,0,81,49.0278,104.0444
Turkey,Erzurum,74,0,40,0,74,39.9086,41.2769
Kazakhstan,Esik,130,1,30,0,130,43.35,77.4667
Brazil,Esperantina,55,2,1,3,55,-3.9019,-42.2339
Brazil,Esperantina,55,2,1,3,55,-5.3428,-48.5108
Belgium,Essen,38,1,28,4,38,51.4508,7.0131
Belgium,Essen,38,1,28,4,38,51.4667,4.4667
Spain,Estepa,31,1,31,2,25,37.2917,-4.8792
Italy,Fabriano,40,1,40,1,30,43.3333,12.9167
United States of America,Fairview Heights,45,1,32,8,45,38.5974,-90.0053
Pakistan,Faisalabad,301,1,82,1,301,31.4167,73.0911
United States of America,Falls Church,59,2,41,5,59,38.8847,-77.1751
United Kingdom of Great Britain and Northern Ireland,Falmouth,78,0,37,0,78,50.15,-5.07
United Kingdom of Great Britain and Northern Ireland,Falmouth,78,0,37,0,78,18.49,-77.661
United Kingdom of Great Britain and Northern Ireland,Falmouth,78,0,37,0,78,41.5913,-70.5912
United Kingdom of Great Britain and Northern Ireland,Falmouth,78,0,37,0,78,43.7476,-70.2827
France,Fameck,28,1,27,2,28,49.2992,6.1097
Italy,Fano,44,1,44,0,33,43.8333,13.0167
Germany,Fellbach,30,0,30,2,26,48.8086,9.2758
Malta,Fgura,49,1,49,0,47,35.8725,14.5228
India,Forbesganj,217,3,103,1,217,26.3,87.265
Italy,Forlimpopoli,38,1,38,1,36,44.1833,12.1333
Argentina,Formosa,32,0,13,0,32,-26.1833,-58.1833
Argentina,Formosa,32,0,13,0,32,-15.5369,-47.3339
United States of America,Fort Atkinson,64,2,5,15,64,42.9253,-88.8442
United States of America,Fort Morgan,58,1,24,4,58,40.2537,-103.7903
Rwanda,Gisenyi,157,4,17,2,157,-1.7,29.25
United States of America,Gladeview,84,1,9,15,84,25.8395,-80.2368
Netherlands,Gorinchem,40,1,28,4,40,51.8306,4.9742
France,Goussainville,51,1,21,5,51,49.0325,2.4747
United States of America,Grand Junction,43,1,17,4,43,39.0877,-108.5673
France,Grasse,72,1,34,3,72,43.6667,6.9167
United States of America,Greeneville,66,2,12,15,66,36.168,-82.8197
United States of America,Greenwood Village,75,2,5,14,75,39.6153,-104.9131
Ecuador,Guaranda,59,2,1,6,59,-1.6,-79.0
Ecuador,Guaranda,59,2,1,6,59,8.4672,-74.5367
Portugal,Guarda,32,1,25,1,32,40.5333,-7.3333
Italy,Guastalla,85,1,27,6,85,44.9167,10.6667
China,Guiyang,99,3,41,6,99,26.5794,106.7078
Germany,Gummersbach,34,1,34,2,27,51.0333,7.5667
Germany,Hille,37,1,37,1,24,52.3331,8.75
Haiti,Hinche,144,3,4,12,144,19.15,-72.0167
United States of America,Hollins,64,1,29,4,64,37.3434,-79.9534
Germany,Homburg,31,1,25,3,31,49.3167,7.3333
United States of America,Hot Springs,72,2,17,7,72,34.4892,-93.0501
China,Huadian,70,2,28,2,70,42.9633,126.7478
Mexico,Huatusco,95,3,8,11,95,19.1489,-96.9661
China,Huinan,68,2,29,2,68,42.6229,126.2614
China,Huizhou,124,4,44,7,124,23.1115,114.4152
Germany,Husum,32,1,32,2,24,54.4667,9.05
Netherlands,Geldermalsen,39,1,29,4,39,51.8833,5.2833
Romania,Gheorgheni,61,1,40,0,61,46.72,25.59
India,Gwalior,174,1,46,0,174,26.2215,78.178
United States of America,Hallandale Beach,83,1,11,12,83,25.9854,-80.1423
Sweden,Halmstad,38,0,38,0,20,56.6739,12.8572
Germany,Hameln,37,1,37,1,24,52.1,9.3667
Germany,Hamminkeln,34,1,28,4,34,51.7319,6.5908
Hungary,Hatvan,38,1,32,1,38,47.6681,19.6697
United States of America,Havelock,53,1,45,1,53,34.9078,-76.8987
United States of America,Healdsburg,31,1,31,1,26,38.6224,-122.8651
Germany,Herrenberg,32,0,32,1,26,48.5967,8.8708
United States of America,Hialeah,93,2,6,17,93,25.8696,-80.3045
Brazil,Fortaleza,25,1,7,1,25,-3.7275,-38.5275
United States of America,Frisco,56,1,20,7,56,33.156,-96.8216
Japan,Furukawa,38,1,38,0,14,36.2381,137.1862
Botswana,Gabane,31,1,18,0,31,-24.6667,25.7833
Colombia,Garagoa,36,1,5,3,36,5.0833,-73.3667
United States of America,Gardner,45,1,45,1,25,38.8122,-94.9275
United States of America,Gardner,45,1,45,1,25,42.5845,-71.9868
United States of America,Middleburg Heights,47,1,30,8,47,41.3696,-81.815
Poland,Mielec,61,1,27,2,61,50.2833,21.4333
Spain,Mieres,46,1,26,4,46,43.2508,-5.7767
Russian Federation,Mikhaylovka,43,1,31,0,43,50.0667,43.25
Russian Federation,Mikhaylovka,43,1,31,0,43,43.9283,132.0061
United Republic of Tanzania,Mikumi,26,0,16,0,26,-7.4072,36.9722
Ecuador,Milagro,59,1,13,6,59,-2.1347,-79.5872
United States of America,Millcreek,44,1,21,8,44,40.6892,-111.8292
United States of America,Millcreek,44,1,21,8,44,42.0859,-80.1194
United States of America,Milledgeville,72,2,16,10,72,33.0874,-83.2414
Botswana,Mogoditshane,32,1,17,0,32,-24.6333,25.8667
Sri Lanka,Monaragala,46,1,32,0,46,6.8726,81.3373
Guatemala,Monjas,64,2,9,7,64,14.501,-89.8723
United States of America,Montebello,125,4,4,36,125,34.0155,-118.1108
Brazil,Monteiro,24,0,13,0,24,-7.8889,-37.12
France,Montgeron,50,1,22,5,50,48.7039,2.4605
Nigeria,Mubi,48,2,21,0,48,10.2604,13.2606
Burundi,Muramvya,67,4,20,1,67,-3.25,29.6
United States of America,Muscle Shoals,54,1,19,6,54,34.7432,-87.6343
India,Nainpur,153,0,38,0,153,22.43,80.12
Japan,Nakatsugawa,51,1,51,1,44,35.4876,137.5006
Pakistan,Nankana Sahib,356,2,100,1,354,31.45,73.7067
United States of America,Narragansett,78,2,43,6,78,41.4291,-71.4668
China,Nehe,39,1,39,0,18,48.48,124.8738
United States of America,Nesconset,73,2,40,10,73,40.8467,-73.1522
Germany,Netphen,34,1,34,2,28,50.9147,8.1
,Nettuno,53,1,53,1,23,41.4667,12.6667
United States of America,New Haven,57,1,45,4,57,41.3113,-72.9246
United States of America,New Haven,57,1,45,4,57,41.0676,-85.0174
United States of America,New Iberia,39,1,20,4,39,30.0049,-91.8202
United Kingdom of Great Britain and Northern Ireland,Newport,47,0,27,3,47,51.5886,-2.9978
United Kingdom of Great Britain and Northern Ireland,Newport,47,0,27,3,47,39.0856,-84.4868
United Kingdom of Great Britain and Northern Ireland,Newport,47,0,27,3,47,52.7691,-2.3787
United Kingdom of Great Britain and Northern Ireland,Newport,47,0,27,3,47,41.4801,-71.3203
United Kingdom of Great Britain and Northern Ireland,Newport,47,0,27,3,47,50.701,-1.2883
United Kingdom of Great Britain and Northern Ireland,Newport,47,0,27,3,47,44.6242,-124.0513
United Republic of Tanzania,Ngara,64,3,14,1,64,-2.5122,30.6558
United Republic of Tanzania,Ngorongoro,33,0,15,0,33,-3.2496,35.52
Russian Federation,Nikel,32,1,32,0,9,69.4081,30.2206
France,Niort,32,0,32,1,18,46.3258,-0.4606
Russian Federation,Nizhniy Lomov,51,0,31,0,51,53.5167,43.6667
Turkey,Nizip,112,1,47,0,112,37.01,37.7972
Italy,Noci,55,1,55,0,42,40.8,17.1333
Thailand,Phuket,43,1,33,0,43,7.8881,98.3975
India,Phulera,291,1,41,0,291,26.87,75.23
United States of America,Pickerington,52,1,48,3,52,39.889,-82.7678
China,Pingyi,151,3,151,2,97,35.5104,117.62
Italy,Poggibonsi,58,1,47,3,58,43.4667,11.15
Brazil,Pojuca,48,1,9,4,48,-12.3659,-38.2433
Italy,Pontinia,42,1,39,4,42,41.4083,13.0443
Brazil,Porangatu,29,1,6,1,29,-13.4408,-49.1489
Jamaica,Port Antonio,41,0,26,1,41,18.1757,-76.4503
Canada,Powell River,28,1,28,0,12,49.8353,-124.5247
Brazil,Presidente Bernardes,43,1,14,1,43,-22.0061,-51.5531
Russian Federation,Privolzhsk,32,1,32,1,29,57.3825,41.2861
Germany,Puchheim,52,1,35,4,52,48.15,11.35
,Puebloviejo,71,1,16,0,71,10.9972,-74.2875
Chile,Punta Arenas,17,0,17,0,3,-53.1667,-70.9333
Indonesia,Purwakarta,101,2,90,1,101,-6.5533,107.4472
Belgium,Quaregnon,55,1,27,4,55,50.4333,3.8667
Italy,Quartucciu,54,1,36,3,54,39.2529,9.1762
Brazil,Quatis,88,3,0,7,88,-22.4069,-44.2578
Poland,Radomsko,76,1,39,1,76,51.0667,19.45
United States of America,Olive Branch,65,1,28,4,65,34.961,-89.8469
Russian Federation,Onega,35,1,35,0,16,63.9167,38.0833
Switzerland,Opfikon,43,2,23,5,43,47.4333,8.5667
United States of America,Oregon City,48,1,12,13,48,45.3418,-122.5924
United States of America,Ormond Beach,63,1,23,7,63,29.2985,-81.1014
Germany,Oschatz,64,1,39,1,64,51.3003,13.1072
Belgium,Overpelt,37,1,30,3,37,51.2167,5.4167
Italy,Ozieri,53,2,23,6,53,40.5849,9.0033
Uganda,Paidha,59,1,17,0,59,2.4167,30.9875
Thailand,Pakxan,53,1,27,0,53,18.3964,103.6558
Indonesia,Palembang,74,2,47,0,74,-2.9861,104.7556
United States of America,Paradise Valley,51,1,19,15,51,33.5434,-111.9595
Brazil,Paraibano,15,0,14,0,15,-6.4328,-43.9839
Bolivia (Plurinational State of),Patacamaya,20,0,7,1,20,-17.2333,-67.9167
United States of America,Patchogue,74,3,20,26,74,40.7621,-73.0185
Russian Federation,Pavlovo,34,1,34,0,28,55.9667,43.0667
United States of America,Pearland,103,1,19,4,103,29.5581,-95.3218
Italy,Pergine Valsugana,58,2,31,4,58,46.0667,11.2333
France,Pertuis,151,1,31,5,151,43.695,5.5036
Brazil,Petrolina,14,0,14,0,13,-9.3928,-40.5078
Russian Federation,Petushki,49,1,28,6,49,55.9333,39.4667
Germany,Pfullendorf,51,1,22,6,51,47.9242,9.2567
South Africa,Phalaborwa,49,1,31,0,49,-23.9333,31.1167
Netherlands,Dordrecht,30,1,30,3,20,51.7958,4.6783
Romania,Dorohoi,40,1,35,1,40,47.9597,26.3997
United States of America,Dracut,72,2,15,16,72,42.6832,-71.301
India,Dumka,85,2,85,1,61,24.42,87.34
Russian Federation,Dyurtyuli,37,1,26,0,37,55.4833,54.8667
United States of America,East Islip,87,4,14,33,87,40.7257,-73.1869
United States of America,East Rockaway,109,3,16,31,109,40.6432,-73.6672
Germany,Eberbach,56,1,35,4,56,49.4667,8.9833
Germany,Eichenzell,69,1,38,2,69,50.4934,9.6961
Dominican Republic,El Seibo,57,1,19,3,57,18.763,-69.042
Turkey,Elbistan,62,1,33,1,62,38.2014,37.1883
Kenya,Eldama Ravine,78,3,25,1,78,0.05,35.7167
Brazil,Elias Fausto,90,2,7,8,90,-23.0428,-47.3739
Norway,Elverum,30,0,30,0,26,60.8819,11.5623
Mexico,Empalme,56,1,30,1,56,27.9617,-110.8125
