city,country_name,aqi_value,pm25_aqi_value,lat,lng
Guasave,Mexico,35,35,25.5744,-108.4706
Guben,Germany,37,37,51.9533,14.7167
Guider,Cameroon,76,76,9.9342,13.9486
Guilin,China,90,90,25.2819,110.2864
Guipavas,France,34,34,48.4336,-4.4008
Fort Walton Beach,United States of America,65,65,30.4255,-86.6222
Fosses,France,29,29,49.0981,2.5067
Fountain Hills,United States of America,37,37,33.6073,-111.7398
Fountain,United States of America,72,72,38.6886,-104.6829
Francisco Morato,Brazil,169,169,-23.2817,-46.7425
Freiberg,Germany,36,36,50.9119,13.3428
Front Royal,United States of America,46,46,38.926,-78.1838
Gaggenau,Germany,29,26,48.8039,8.3194
Gan Yavne,Israel,77,77,31.7886,34.7053
Gela,Italy,53,53,37.0667,14.25
Gennep,Netherlands,30,30,51.7,5.9667
Genthin,Germany,31,31,52.4,12.1667
Georgetown,Guyana,27,27,6.8058,-58.1508
Georgetown,Guyana,27,27,-7.9286,-14.4119
Georgetown,Guyana,27,27,30.666,-97.6966
Georgetown,Guyana,27,27,38.2247,-84.5487
Georgetown,Guyana,27,27,31.9849,-81.226
Georgetown,Guyana,27,27,-18.3,143.55
Gera,Germany,30,30,50.8806,12.0833
Lake Jackson,United States of America,25,25,29.0516,-95.4521
Lakeside,United States of America,57,57,30.1356,-81.7674
Lakeside,United States of America,57,57,32.856,-116.904
Lakeside,United States of America,57,57,37.6132,-77.4768
Lam Luk Ka,Thailand,66,66,13.9297,100.7375
Leusden,Netherlands,33,26,52.1333,5.4333
Lewes,United Kingdom of Great Britain and Northern Ireland,37,37,50.8747,0.0117
Lianga,Philippines,50,50,8.633,126.0932
Libourne,France,46,46,44.92,-0.24
Litovel,Czechia,49,49,49.7012,17.0762
Lokeren,Belgium,31,31,51.1,3.9833
Londerzeel,Belgium,34,34,51.0,4.3
Louga,Senegal,176,176,15.6167,-16.2167
Lubin,Poland,35,35,51.4,16.2
Lublin,Poland,32,28,51.25,22.5667
Lucena,Philippines,32,32,13.9333,121.6167
Lucena,Philippines,32,32,37.4,-4.4833
Lucena,Philippines,32,32,10.8833,122.6
